%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
acerer	v				
acericole	adj				
acericulteur	nf				
acericulture	nf				
acetate	nm				
acetique	adj				
acetone	nf				
acetylène	nm				
acetylénique	adj				
acetylsalicylique	adj				
achalander	v				
acharnement	nm				
acharner (s')	null				
achat	nm				
ache	nf				
acheminement	nm				
acheminer	v				
acheter	v				
acheteur	nf				
achevé	adj				
achevé d'imprimer	nm				
achevement	nm				
achever	v				
achigan	nm				
achoppement	nm				
achopper	vi				
Acide	nm				
acide désoxyribonucléique	null				
acide ribonucléique	null				
acidité	nf				
acidulé	adj				
acier	nm				
acierage	nm				
acierer	v				
acierie	nf				
acme	nm				
acne	nf				
acolyte	nm				
acompte	nm				
a contrario	adj				
acoquiner (s')	null				
a-coté	nm				
a-coup	nm				
acoustique	nf				
acquéreur	null				
acquérir	v				
acquêt	nm				
acquiescement	nm				
acquiescer	v				
acquis	nm				
acquisition	nf				
acquit	nm				
acquittement	nm				
acquitter	v				
acre	nf				
acre	adj				
acreté	nf				
acrimonie	nf				
acrimonieux	adj				
acro-	null				
acrobate	nm				
acrobatie	nf				
acrobatique	adj				
acrocéphalie	nf				
acrocyanose	nf				
acromégalie	nf				
acronyme	nm				
acropole	nf				
acrostiche	nm				
acrylique	nm				
acte	nm				
acteur	nm				
ACTH	null				
actif	nm				
actinium	nm				
actinologie	nf				
actinomètre	nm				
action	nf				
action de grâce(s)	nf				
actionnaire	nm				
actionnariat	nm				
actionner	v				
activation	nf				
activement	adj				
activer	v				
activisme	nm				
activiste	nm				
activité	nf				
actuaire	nm				
actualisation	nf				
actualiser	v				
actualité	nf				
actuariat	nm				
actuariel	adj				
actuel	adj				
actuellement	adj				
acuité	nf				
acupuncteur	nf				
acupuncture	nf				
acyclique	adj				
A.D.A.C.	null				
adage	nm				
adagio	nm				
adamantin	adj				
adaptabilité	nf				
adaptable	adj				
adaptateur	nm				
adaptateur	nm				
adaptation	nf				
adapter	v				
A.D.A.V.	null				
addenda	nm				
additif	nm				
addition	nf				
additionnel	adj				
additionner	v				
adduction	nf				
adenite	nf				
aden(o)-	null				
adenome	nm				
adent	nm				
adepte	nm				
adequat	adj				
adequation	nf				
adherence	nf				
adherent	nm				
adherer	v				
adhesif	nm				
adhesion	nf				
ad hoc	adj				
ad hominem	adj				
adieu	nm				
a-Dieu-va(t)	null				
adipeux	adj				
adiposité	nf				
adjacent	adj				
adjectif	adj				
adjectivement	adj				
adjectiver	v				
adjoindre	v				
adjoint	nf				
adjonction	nf				
adjudant	nm				
adjudant-chef	nm				
adjudicataire	nm				
adjudicateur	nm				
adjudication	nf				
adjuger	v				
adjuration	null				
adjurer	v				
adjuvant	nm				
ad	null				
ad libitum	adj				
admettre	v				
administrateur	nm				
administratif	adj				
administration	nf				
administrativement	adj				
administrer	v				
admirable	adj				
admirablement	adj				
admirateur	nm				
admiratif	adj				
admiration	nf				
admirativement	adj				
admirer	v				
admissibilité	nf				
admissible	adj				
admission	nf				
admonestation	nf				
admonester	v				
A.D.N.	null				
adolescence	nf				
adolescent	nm				
adonis	nm				
adonner (s')	null				
adopter	v				
adoptif	adj				
adoption	nf				
adorable	adj				
adorablement	adj				
adoration	nf				
adorer	v				
adossement	nm				
adosser	v				
adoubement	nm				
adouber	v				
adoucir	v				
adoucissant	adj				
adoucissement	nm				
adoucisseur	nm				
ad patres	adj				
adragante	nf				
adrenaline	nf				
adressage	nm				
adresse	null				
adresser	v				
adroit	adj				
adroitement	adj				
adsorption	nf				
adulateur	nm				
adulation	nf				
aduler	v				
adulte	nm				
adultère	nm				
adultérin	adj				
ad valorem	adj				
advenir	vi				
adverbial	adj				
adverbialement	adj				
adversaire	nm				
adverse	adj				
adversité	nf				
ad vitam æternam	adj				
aeration	nf				
aere	adj				
aerer	v				
aerien	adj				
aero-	null				
aerobie	nm				
aero-club	nm				
aerodrome	nm				
aerodynamique	nf				
aerogare	nf				
aeroglisseur	nm				
aerogramme	nm				
aerolite	nm				
aeronautique	nf				
aeronef	nm				
aerophagie	nf				
aeroplane	nm				
aeroport	nm				
aeroporté	adj				
aeroportuaire	adj				
aeropostal	adj				
aerosol	nm				
aerospatial	adj				
affabilité	nf				
affable	adj				
affablement	adj				
affabulation	nf				
affabuler	vi				
affacturage	nm				
affadir	v				
affadissement	nm				
affaiblir	v				
affaiblissement	nm				
affaire	null				
affairé	adj				
affairement	nm				
affairer (s')	null				
affairisme	nm				
affairiste	nm				
affaissement	nm				
affaisser (s')	null				
affaler	v				
affamé	nm				
affamer	v				
affect	nm				
affectation	nf				
affecté	adj				
affecter	v				
affectif	adj				
affection	nf				
affectionner	v				
affectivité	nf				
affectueusement	adv				
affectueux	adj				
afferent	adj				
affermage	nm				
affermer	v				
affermir	v				
affermissement	nm				
affeterie	nf				
affichage	nm				
affiche	nf				
afficher	v				
affichiste	nm				
affidavit	nm				
affidé	nm				
affilage	nm				
affilée (d')	adj				
affiler	v				
affiliation	nf				
affilier	v				
affinage	nm				
affinement	nm				
affiner	v				
affinité	nf				
affirmatif	adj				
affirmation	nf				
affirmativement	adj				
affirmer	v				
affixe	nm				
affleurement	nm				
affleurer	v				
afflictif	adj				
affliction	nf				
affligeant	adj				
affliger	v				
affluence	nf				
affluent	nm				
affluer	vi				
afflux	nm				
affolant	adj				
affolement	nm				
affoler	v				
affranchi	nm				
affranchir	v				
affranchissement	nm				
affres	nf				
affrètement	nm				
affréter	v				
affréteur	nm				
affreusement	adj				
affreux	adj				
affriolant	adj				
affrioler	v				
affront	nm				
affrontement	nm				
affronter	v				
affubler	v				
affut	nm				
affutage	nm				
affuter	v				
afghan	nm				
afghani	nm				
aficionado	nm				
afin de	null				
afin que	null				
AFNOR	null				
a fortiori	adj				
A.F.-P.	null				
africain	nm				
afrikaans	nm				
afrikaner	nm				
Ag	null				
aga	null				
agacant	adj				
agacement	nm				
agacer	v				
agacerie	nf				
agami	nm				
agape	nf				
agate	nf				
agave	nm				
age	nm				
age	adj				
agence	nf				
Agence France-Presse	null				
agencer	v				
agenda	nm				
agenouillement	nm				
agenouiller (s')	null				
agent	nm				
agent de change	nm				
aggiornamento	nm				
agglomérat	nm				
agglomération	nf				
aggloméré	nm				
agglomérer	v				
agglutinant	adj				
agglutination	nf				
agglutiner	v				
aggravant	adj				
aggravation	nf				
aggraver	v				
agha	nm				
agile	adj				
agilement	adj				
agilité	nf				
agio	nm				
a giorno	adj				
agiotage	nm				
agir	vi				
agissements	nm				
agitateur	nm				
agitation	nf				
agité	adj				
agiter	v				
agneau	nm				
agnelage	nm				
agnelée	nf				
agneler	vi				
agnelet	nm				
agnelle	nf				
agnosticisme	nm				
agnostique	nm				
agnus Dei	nm				
a gogo	null				
agonie	nf				
agonir	v				
agonisant	nm				
agoniser	vi				
agora	nf				
agoraphobe	nm				
agoraphobie	nf				
agrafage	nm				
agrafe	nf				
agrafer	v				
agrafeuse	nf				
agraire	adj				
agrammatical	adj				
agrandir	v				
agrandissement	nm				
agreable	adj				
agreablement	adj				
agreé	adj				
agreer	v				
agregat	nm				
agregation	nf				
agregé	nm				
agrement	nm				
agrementer	v				
agres	nm				
agresser	v				
agresseur	nm				
agressif	adj				
agression	nf				
agressivement	adj				
agressivité	nf				
agreste	adj				
agricole	adj				
agriculteur	nm				
agriculture	nf				
agripper	v				
agro-	null				
agroalimentaire	nm				
agronome	nm				
agronomie	nf				
agronomique	adj				
agrume	nm				
aguerrir	v				
aguets (aux)	adj				
aguichant	adj				
aguiche	nf				
aguicher	v				
aguicheur	adj				
Ah	null				
ah !	nm				
ahan	nm				
ahaner	vi				
a huis clos	null				
ahuri	adj				
ahurir	v				
ahurissant	adj				
ahurissement	nm				
aide	nf				
aide	nm				
aide-mémoire	nm				
aider	v				
aie !	null				
aieul	nm				
aigle	nm				
aiglefin	null				
aiglon	nm				
aigre	adj				
aigre-doux	adj				
aigrefin	nm				
aigrelet	adj				
aigrement	adj				
aigrette	nf				
aigreur	nf				
aigrir	v				
aigu	nm				
aigu	adj				
aigue-marine	nf				
aiguière	nf				
aiguillage	nm				
aiguille	nf				
aiguillée	nf				
aiguiller	v				
aiguillette	nf				
aiguilleur	nm				
aiguillon	nm				
aiguillonner	v				
aiguisage	nm				
aiguiser	v				
aiguisoir	nm				
aikido	nm				
ail	nm				
aile	nf				
aile	adj				
aileron	nm				
ailette	nf				
ailier	nm				
aillade	nf				
-ailler	null				
ailler	v				
-aille(s)	null				
ailleurs	adj				
ailloli	null				
aimable	adj				
aimablement	adj				
aimant	nm				
aimant	adj				
aimantation	nf				
aimanter	v				
aimer	v				
aine	nf				
aine	nm				
ainesse	nf				
ainsi	adj				
ainsi que	null				
aioli	nm				
air	nm				
airain	nm				
air-air	adj				
air (avoir l')	null				
air conditionné	nm				
aire	null				
airedale	nm				
airelle	nf				
airer	vi				
air-mer	adj				
air-sol	adj				
aisance	nf				
aise	nf				
aise	adj				
aisement	adj				
aisselle	nf				
ajouré	adj				
ajourer	v				
ajournement	nm				
ajourner	v				
ajout	nm				
ajouter	v				
ajustage	nm				
ajustement	nm				
ajuster	v				
ajusteur	nm				
ajutage	nm				
al	null				
Al	null				
alacrité	nf				
alaire	adj				
alaise	nf				
alambic	nm				
alambiqué	adj				
alanguir	v				
alarmant	adj				
alarme	nf				
alarmer	v				
alarmiste	nm				
albanais	nm				
albatre	nm				
albatros	nm				
albinisme	nm				
albinos	nm				
album	nm				
albumen	nm				
albumine	nf				
alcali	nm				
alcalin	adj				
alcaliniser	v				
alcalinité	nf				
alcazar	nm				
alchimie	nf				
alcool	nm				
alcoolémie	nf				
alcoolique	nm				
alcoolisation	nf				
alcoolisé	adj				
alcooliser	v				
alcoolisme	nm				
alcoomètre	nm				
alcootest	nm				
alcove	nf				
alcyon	nm				
al dente	adj				
ale	nf				
alea	nm				
alea jacta est	null				
aleatoire	adj				
alemanique	nm				
alene	nf				
alentour	adj				
alentours	nm				
alerte	adj				
alerte	nf				
alerter	v				
alesage	nm				
alese	null				
aleser	v				
aleseur	nm				
aleseuse	nf				
alesoir	nm				
alevin	nm				
alevinage	nm				
aleviner	v				
alevinier	nm				
alexandrin	nm				
alezan	nm				
alfa	nm				
algarade	nf				
algebre	nf				
algebrique	adj				
algebriquement	adj				
algerien	nm				
algerois	nm				
-algie	null				
algol	nm				
algonkin	nm				
algorithme	nm				
algorithmique	adj				
algue	nf				
alias	adj				
alibi	nm				
alienabilité	nf				
alienable	adj				
alienataire	nm				
alienateur	nm				
alienation	nf				
aliené	nm				
aliener	v				
alieniste	nm				
alignement	nm				
aligner	v				
aligoté	nm				
aliment	nm				
alimentaire	adj				
alimentation	nf				
alimenter	v				
alinéa	nm				
alitement	nm				
aliter	v				
alizé	nm				
alkekenge	nm				
allaitement	nm				
allaiter	v				
allant	nm				
allechant	adj				
allecher	v				
allee	nf				
allegation	nf				
allege	nf				
allegeance	nf				
allegement	nm				
alleger	v				
allegorie	nf				
allegorique	adj				
allegoriquement	adj				
allegre	adj				
allegrement	adj				
allegresse	nf				
allegretto	adj				
allegretto	nm				
allegro	adj				
allegro	nm				
alleguer	v				
alleluia	nm				
allemand	nm				
allene	nm				
aller	vi				
aller	nm				
aller et retour	nm				
allergène	nm				
allergie	nf				
allergique	adj				
allergologie	nf				
allergologiste	nm				
alliacé	adj				
alliage	nm				
alliance	nf				
allié	nm				
allier	v				
alligator	nm				
allitération	nf				
allo !	null				
allo-	null				
allocataire	nm				
allocation	nf				
allocution	nf				
allongement	nm				
allonger	v				
allopathe	nm				
allopathie	nf				
allophone	nm				
allouer	v				
allumage	nm				
allume-cigares	nm				
allume-feu	nm				
allumer	v				
allumette	nf				
allumeur	nm				
allure	nf				
alluré	adj				
allusif	adj				
allusion	nf				
alluvial	adj				
alluvion	nf				
alluvionnaire	adj				
alluvionner	vi				
almanach	nm				
almee	nf				
aloes	nm				
aloi	nm				
a longueur de	null				
alors	adj				
alose	nf				
alouette	nf				
alourdir	v				
alourdissement	nm				
aloyau	nm				
alpaga	nm				
alpage	nm				
alpestre	adj				
alpha	nm				
alphabet	nm				
alphabétique	adj				
alphabétiquement	adj				
alphabétisation	nf				
alphabétiser	v				
alphanumérique	adj				
alpin	adj				
alpinisme	nm				
alpiniste	nm				
alsacien	nm				
alterable	adj				
alteration	nf				
altercation	nf				
alteré	adj				
alter ego	nm				
alterer	v				
alternance	nf				
alternateur	nm				
alternatif	adj				
alternative	nf				
alternativement	adj				
alterner	v				
altesse	nf				
altier	adj				
altimètre	nm				
altiport	nm				
altiste	nm				
altitude	nf				
alto	nm				
altocumulus	nm				
altostratus	nm				
altruisme	nm				
altruiste	nm				
alumine	nf				
aluminer	v				
aluminium	nm				
alun	nm				
alunir	vi				
alunissage	nm				
alveolaire	adj				
alveole	nf				
alveolé	adj				
alveolite	nf				
AM	null				
a.m.	null				
amabilité	nf				
amadou	nm				
amadouer	v				
amaigrir	v				
amaigrissant	adj				
amaigrissement	nm				
amalgamation	nf				
amalgame	nm				
amalgamer	v				
amande	nf				
amandier	nm				
amanite	nf				
amant	nm				
amarante	nm				
amareyeur	nm				
amarrage	nm				
amarre	nf				
amarrer	v				
amaryllis	nf				
amas	nm				
amasser	v				
amateur	nm				
amateurisme	nm				
amazone	nf				
amazonien	nm				
ambages	nf				
ambassade	nf				
ambassadeur	nm				
ambi-	null				
ambiance	nf				
ambiant	adj				
ambidextre	nm				
ambigu	adj				
ambiguïté	nf				
ambigument	adj				
ambitieusement	adj				
ambitieux	nm				
ambition	nf				
ambitionner	v				
ambivalence	nf				
ambivalent	adj				
amble	nm				
ambler	vi				
ambre	nm				
ambré	adj				
ambroisie	nf				
ambrosien	adj				
ambulance	nf				
ambulancier	nm				
ambulant	adj				
ambulatoire	adj				
ame	nf				
ameliorable	adj				
ameliorant	adj				
amelioration	nf				
ameliorer	v				
amen	nm				
amenagement	nm				
amenager	v				
amende	nf				
amendement	nm				
amender	v				
amene	adj				
amener	v				
amenité	nf				
amenuisement	nm				
amenuiser	v				
amer	adj				
amerement	adj				
americain	nm				
americanisation	nf				
americaniser	v				
americanisme	nm				
amerindien	nm				
amerrir	vi				
amerrissage	nm				
amertume	nf				
amethyste	nm				
ameublement	nm				
ameublir	v				
ameublissement	nm				
ameuter	v				
ami	nm				
amiable (à l')	adj				
amiante	nm				
amibe	nf				
amibien	adj				
amical	adj				
amicale	nf				
amicalement	adj				
amict	nm				
amidon	nm				
amidonnage	nm				
amidonner	v				
amincir	v				
amincissement	nm				
amiral	nm				
amiral	adj				
amirauté	nf				
amitié	nf				
ammoniac	nm				
ammoniac	adj				
ammoniacal	adj				
ammoniaque	nf				
amnesie	nf				
amnesique	nm				
amniocentèse	nf				
amnistie	nf				
amnistier	v				
amocher	v				
amoindrir	v				
amoindrissement	nm				
amollir	v				
amollissement	nm				
amonceler	v				
amoncellement	nm				
amont	nm				
amoral	adj				
amoralisme	nm				
amoralité	nf				
amorçage	nm				
amorce	nf				
amorcer	v				
amoroso	adj				
amorphe	adj				
amorti	nm				
amortir	v				
amortissable	adj				
amortissement	nm				
amortisseur	nm				
amour	nm				
amouracher (s')	null				
amour-en-cage	null				
amourette	nf				
amoureusement	adj				
amoureux	nm				
amour-propre	nm				
amovible	adj				
ampere	nm				
ampere-heure	nm				
amperemètre	nm				
ampere par mètre	null				
amphétamine	nf				
amphi	nm				
amphi-	null				
amphibie	nm				
amphigouri	nm				
amphigourique	adj				
amphithéâtre	nm				
amphitryon	nm				
amphore	nf				
ample	adj				
amplement	adj				
ampleur	nf				
ampli	nm				
amplificateur	nm				
amplification	nf				
amplifier	v				
amplitude	nf				
ampoule	nf				
ampoulé	adj				
amputation	nf				
amputé	nm				
amputer	v				
amuir (s')	null				
amuissement	nm				
amulette	nf				
amusant	adj				
amuse-gueule	nm				
amusement	nm				
amuser	v				
amusette	nf				
amuseur	nm				
amygdale	nf				
amygdalectomie	nf				
amygdalite	nf				
an	nm				
ana-	null				
anabolisant	nm				
anacardier	nm				
anachorète	nm				
anachronique	adj				
anachronisme	nm				
anacoluthe	nf				
anaconda	nm				
anaerobie	nm				
anagramme	nf				
anal	adj				
analgésie	nf				
analgésique	nm				
anallergique	adj				
analogie	nf				
analogique	adj				
analogue	adj				
analphabète	nm				
analphabétisme	nm				
analysable	adj				
analyse	nf				
analyser	v				
analyseur	nm				
analyste	nm				
analytique	adj				
analytiquement	adj				
ananas	nm				
anaphylactique	adj				
anaphylaxie	nf				
anarchie	nf				
anarchique	adj				
anarchiquement	adj				
anarchisme	nm				
anarchiste	nm				
anathème	nm				
anatomie	nf				
anatomique	adj				
anatomiquement	adj				
ancestral	adj				
ancetre	nm				
anche	nf				
anchois	nm				
ancien	nm				
anciennement	adj				
ancienneté	nf				
Ancien Testament	null				
ancillaire	adj				
ancolie	nf				
ancrage	nm				
ancre	nf				
ancrer	v				
andalou	nm				
andante	nm				
andouille	nf				
andouillette	nf				
andro-	null				
androgène	nm				
androgyne	nm				
androïde	nm				
andropause	nf				
androstérone	nf				
ane	nm				
aneantir	null				
aneantissement	nm				
anecdote	nf				
anecdotique	adj				
anemie	nf				
anemier	v				
anemique	adj				
anemo-	null				
anemomètre	nm				
anemone	nf				
anerie	nf				
anesse	nf				
anesthésiant	nm				
anesthésie	nf				
anesthésier	v				
anesthésique	nm				
anesthésiste	nm				
aneth	nm				
anevrysme	nm				
anfractuosité	nf				
ange	nm				
angelique	nf				
angelot	nm				
angelus	nm				
angevin	nm				
angine	nf				
anglais	nm				
angle	nm				
anglican	nm				
anglicanisme	nm				
angliciser	v				
anglicisme	nm				
anglo-	null				
anglomanie	nf				
anglophile	nm				
anglophobe	nm				
anglophobie	nf				
anglophone	nm				
anglo-saxon	nm				
angoissant	adj				
angoisse	nf				
angoisser	v				
angolais	nm				
angora	nm				
anguille	nf				
angulaire	adj				
anguleux	adj				
angusture	nf				
anhydre	adj				
anicroche	nf				
aniline	nf				
animadversion	nf				
animal	nm		animaux		
animalcule	nm				
animalerie	nf				
animalier	nm				
animalité	nf				
animateur	nm				
animation	nf				
animé	adj				
animer	v				
animisme	nm				
animiste	nm				
animosité	nf				
anis	nm				
aniser	v				
anisette	nf				
ankylose	nf				
ankylosé	adj				
ankyloser	v				
annal	adj				
annales	nf				
annaliste	nm				
annamite	nm				
anneau	nm				
annee	nf				
annee-lumière	nf				
anneler	v				
annexe	nf				
annexé	adj				
annexer	v				
annexion	nf				
annexionnisme	nm				
annihilation	nf				
annihiler	v				
anniversaire	nm				
annonce	nf				
annoncer	v				
annonceur	nm				
annonciateur	nm				
annotateur	nm				
annotation	nf				
annoter	v				
annuaire	nm				
annualité	nf				
annuel	adj				
annuellement	adj				
annuité	nf				
annulaire	nm				
annulation	nf				
annuler	v				
anoblir	v				
anoblissement	nm				
anode	nf				
anodin	adj				
anodisation	nf				
anodiser	v				
anomal	adj				
anomalie	nf				
anomie	nf				
anon	nm				
anonnement	nm				
anonner	v				
anonymat	nm				
anonyme	nm				
anonymement	adj				
anorak	nm				
anorexie	nf				
anorexique	nm				
anormal	nm				
anormalement	adj				
anovulatoire	adj				
anse	nf				
antagonisme	nm				
antagoniste	nm				
antan (d')	adj				
antarctique	nm				
ante-	null				
antecédent	nm				
antechrist	nm				
antediluvien	adj				
antenne	nf				
antepénultième	nf				
anterieur	adj				
anterieurement	adj				
anteriorité	nf				
anthère	nf				
anthologie	nf				
anthracite	nm				
anthrax	nm				
-anthrope	null				
anthropo-	null				
anthropocentrique	adj				
anthropocentrisme	nm				
anthropogenèse	nf				
anthropologie	nf				
anthropologique	adj				
anthropologue	nm				
anthropométrie	nf				
anthropométrique	adj				
anthropomorphisme	nm				
anthropophage	nm				
anthropophagie	nf				
anthropopithèque	nm				
anti-	null				
antiaérien	adj				
antialcoolique	adj				
antiallergique	adj				
antiaméricain	adj				
antiapartheid	adj				
antiasthmatique	nm				
antiatomique	adj				
antibactérien	nm				
antibiotique	nm				
antibrouillard	nm				
antibruit	adj				
antibuée	adj				
anticancéreux	nm				
antichambre	nf				
antichar(s)	adj				
antichoc(s)	adj				
anticipation	nf				
anticipé	adj				
anticiper	v				
anticlérical	nm				
anticléricalisme	nm				
anticoagulant	nm				
anticolonialisme	nm				
anticommunisme	nm				
anticommuniste	nm				
anticonceptionnel	adj				
anticonformisme	nm				
anticonformiste	nm				
anticonstitutionnel	adj				
anticonstitutionnellement	adj				
anticorps	nm				
anticyclone	nm				
antidate	nf				
antidater	v				
antidémocratique	adj				
antidépresseur	nm				
antidépressif	nm				
antidérapant	adj				
antidétonant	nm				
antidiurétique	nm				
antidopage	adj				
antidote	nm				
antiéblouissant	adj				
antiémétique	adj				
antienne	nf				
antifasciste	nm				
antifriction	nm				
antifumée	nm				
anti-g	adj				
antigang	nm				
antigel	nm				
antigène	nm				
antigivre	nm				
antigrippe	adj				
antiguérilla	nf				
antihalo	nm				
antihistaminique	nm				
antihygiénique	adj				
anti-impérialisme	nm				
anti-impérialiste	nm				
anti-inflammatoire	nm				
anti-inflationniste	adj				
antillais	nm				
antilope	nf				
antimatière	nf				
antimilitarisme	nm				
antimissile(s)	nm				
antimite(s)	nm				
antimoine	nm				
antinational	adj				
antinévralgique	nm				
antinomie	nf				
antinomique	adj				
antiparasite(s)	nm				
antiparlementaire	nm				
antipathie	nf				
antipathique	adj				
antiphrase	nf				
antipode	nm				
antipoison	nm				
antipollution	adj				
antiprotectionnisme	nm				
antiquaille	nf				
antiquaire	nm				
antique	nm				
antiquité	nf				
antirabique	adj				
antiracisme	nm				
antiradar	nm				
antireflet(s)	adj				
antiréglementaire	adj				
antirides	nm				
antirouille	adj				
antisémite	nm				
antisémitisme	nm				
antisepsie	nf				
antiseptique	nm				
antisocial	adj				
antisolaire	adj				
anti-sous-marin	adj				
antisoviétique	nm				
antispasmodique	nm				
antistatique	adj				
antitabac	adj				
antitétanique	adj				
antithèse	nf				
antithétique	adj				
antitoxine	nf				
antitrust(s)	adj				
antituberculeux	adj				
antitussif	nm				
antivénérien	adj				
antivol	nm				
antonomase	nf				
antonyme	nm				
antonymie	nf				
antre	nm				
anus	nm				
anxiété	nf				
anxieusement	adj				
anxieux	nm				
anxiolytique	nm				
A.O.C.	null				
aorte	nf				
aortique	adj				
aout	nm				
aoutien	nm				
apaisant	adj				
apaisement	nm				
apaiser	v				
apanage	nm				
a part	adj				
aparté	nm				
apartheid	nm				
apathie	nf				
apathique	nm				
apatride	nm				
apercevoir	v				
aperçu	nm				
aperitif	nm				
apesanteur	nf				
a peu près	adj				
a-peu-près	nm				
apeurer	v				
aphasie	nf				
aphasique	nm				
apherèse	nf				
aphone	adj				
aphorisme	nm				
aphrodisiaque	nm				
aphte	nm				
aphteux	adj				
api	nm				
a pic	adj				
a-pic	nm				
apicole	adj				
apiculteur	nm				
apiculture	nf				
a pied d'oeuvre	adj				
apitoiement	nm				
apitoyer	v				
APL	nm				
